date,v_intra,vwap_intra,v_after,vwap_after
2026-05-12,1177126.0,3792.9951424061655,24278.0,3745.0
2026-05-13,1042215.0,3539.359517949751,15831.0,3535.0
2026-05-14,789198.0,3458.7443898742777,10692.0,3425.0
2026-05-15,660416.0,3373.6674762573894,16609.0,3270.0
2026-05-18,569351.0,3317.180026029637,9186.0,3430.0
2026-05-19,1084665.0,3217.743579814966,5806.0,3195.0
2026-05-20,559336.0,3266.9002620964857,7772.0,3255.0
2026-05-21,344937.0,3550.0,3155.0,3550.0
2026-05-22,1237208.0,3793.1765919716,18258.0,3860.0
2026-05-25,425789.0,4245.0,8502.0,4245.0
2026-05-26,1313013.0,4299.6170563429305,11859.0,4275.0
2026-05-27,1292929.0,4659.207033023468,9911.0,4660.0
2026-05-28,1990555.0,4459.009954510174,12497.0,4420.0
2026-05-29,1699960.0,4330.108217252171,13831.0,4350.0
2026-06-01,1071926.0,4564.381589773921,11894.0,4560.0
2026-06-02,1161088.0,4536.727065476519,6620.0,4550.0
2026-06-03,899747.0,4525.103673588242,6437.0,4560.0
2026-06-04,759782.0,4525.480289082921,13387.0,4455.0
2026-06-05,1203256.0,4284.615925455597,11775.0,4330.0
2026-06-08,1471468.0,4031.3584699089615,19996.0,4080.0
2026-06-09,1083593.0,4389.215411136838,5617.0,4475.0
2026-06-10,1545837.0,4291.867467268541,9119.0,4185.0
2026-06-11,1500054.0,4016.545197706216,,
2026-06-12,528830.0,4239.278359775353,11177.0,4185.0
2026-06-15,1270869.0,4450.455499347297,11900.0,4475.0
2026-06-16,942833.0,4509.784219474711,9060.0,4540.0
2026-06-17,788600.0,4452.174232817652,7268.0,4500.0
2026-06-18,830464.0,4414.0312644497535,12210.0,4420.0
2026-06-22,759211.0,4493.0898524916,,
